case_id,description,case_category,crime_type,severity,vulnerability,influence,plain_summary
CASE_0305,A property dispute concerning loan and contract. The parties claim ownership and possession of the premises. disagreement is in question and court intervention sought.,Property/Land,Property,Minor,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0306,A case of property has been filed. The dispute is over debt involving disagreement. No physical harm was reported. The matter involves eviction and dissolution issues.,General Civil,Property,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0307,A case of property has been filed. The dispute is over borrowing involving breach. No physical harm was reported. The matter involves theft and fraud issues.,General Civil,Property,No Injury,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0308,The accused firearm the victim with a knife. The victim was violent and suffered major injuries. There was a deadly incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, firearm. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0309,"A case of financial dispute has been reported. The matter involves loan and disagreement. No physical harm was reported, but it involves debt issues requiring legal resolution.",General Civil,Financial,No Injury,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0310,A case of non-violent has been filed. The dispute is over liquidation involving deception. No physical harm was reported. The matter involves cheating and misappropriated issues.,General Civil,Non-Violent,Minor,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0311,A case of property has been filed. The dispute is over controversy involving tax. No physical harm was reported. The matter involves property and dispute issues.,General Civil,Property,No Injury,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0312,The accused killed the victim with a knife. The victim was assaulted and suffered major injuries. There was a violence incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates assault, killed, victim. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0313,A property dispute concerning land and controversy. The parties claim ownership and possession of the premises. liquidation is in question and court intervention sought.,Property/Land,Property,Minor,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates land, possession, premises, property. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0314,A property dispute concerning agreement and eviction. The parties claim ownership and possession of the premises. bankruptcy is in question and court intervention sought.,Property/Land,Property,No Injury,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, eviction. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0315,The accused rape the victim with a sharp object. The victim was abducted and suffered major injuries. There was a deadly incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates rape, victim. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0316,A minor child was sexually abused by the accused. The child victim is traumatized and requires immediate judicial intervention. Constitutional rights against exploitation are attracted.,General Civil,Violent,Major,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates the facts of the dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0317,A property dispute concerning cheating and estate. The parties claim ownership and possession of the premises. controversy is in question and court intervention sought.,Property/Land,Property,Minor,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0318,"A case of financial dispute has been reported. The matter involves eviction and excise. No physical harm was reported, but it involves dispute issues requiring legal resolution.",General Civil,Financial,Minor,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0319,A case of non-violent has been filed. The dispute is over refund involving winding up. No physical harm was reported. The matter involves dissolution and bankruptcy issues.,General Civil,Non-Violent,Minor,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0320,The accused assaulted the victim with a stick. The victim was stabbed and suffered major injuries. There was a fired upon incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates assault, victim. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0321,A case of financial has been filed. The dispute is over misappropriated involving borrowing. No physical harm was reported. The matter involves disagreement and possession issues.,General Civil,Financial,No Injury,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0322,The accused beaten the victim with a stick. The victim was violence and suffered fatal injuries. There was a shot incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, shot. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0323,A case of financial has been filed. The dispute is over tax involving estate. No physical harm was reported. The matter involves disagreement and contract issues.,General Civil,Financial,No Injury,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates contract, dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0324,A case of property has been filed. The dispute is over breach involving controversy. No physical harm was reported. The matter involves winding up and dissolution issues.,General Civil,Property,No Injury,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0325,A minor child was sexually abused by the accused. The child victim is traumatized and requires immediate judicial intervention. Constitutional rights against exploitation are attracted.,General Civil,Violent,Major,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates the facts of the dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0326,The accused murder the victim with a iron rod. The victim was attacked and suffered fatal injuries. There was a shot incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates murder, victim, shot. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0327,"A case of financial dispute has been reported. The matter involves debt and possession. No physical harm was reported, but it involves estate issues requiring legal resolution.",General Civil,Financial,No Injury,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0328,A case of property has been filed. The dispute is over controversy involving confiscation. No physical harm was reported. The matter involves seizure and estate issues.,General Civil,Property,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0329,A case of property has been filed. The dispute is over disagreement involving theft. No physical harm was reported. The matter involves misappropriated and premises issues.,General Civil,Property,No Injury,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0330,A property dispute concerning insolvency and premises. The parties claim ownership and possession of the premises. tenancy is in question and court intervention sought.,Property/Land,Property,No Injury,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0331,The accused committed sexual assault on the victim. The victim was raped and suffered severe mental trauma. A case under relevant criminal provisions was registered.,Criminal/Violent,Violent,Major,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates rape, assault, victim, sexual assault. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0332,The accused committed sexual assault on the victim. The victim was raped and suffered severe mental trauma. A case under relevant criminal provisions was registered.,Criminal/Violent,Violent,Major,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates rape, assault, victim, sexual assault. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0333,A case of financial has been filed. The dispute is over liquidation involving dissolution. No physical harm was reported. The matter involves eviction and confiscation issues.,General Civil,Financial,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0334,A property dispute concerning rebate and land. The parties claim ownership and possession of the premises. property is in question and court intervention sought.,Property/Land,Property,No Injury,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates land, possession, premises, property. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0335,A property dispute concerning attachment and estate. The parties claim ownership and possession of the premises. seizure is in question and court intervention sought.,Property/Land,Property,Minor,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0336,"A case of financial dispute has been reported. The matter involves estate and land. No physical harm was reported, but it involves bankruptcy issues requiring legal resolution.",General Civil,Financial,Minor,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0337,A case of non-violent has been filed. The dispute is over drawback involving liquidation. No physical harm was reported. The matter involves rebate and seizure issues.,General Civil,Non-Violent,Minor,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0338,The accused choked the victim with a stick. The victim was threatened and suffered fatal injuries. There was a violence incident reported to the police. A criminal case was registered and investigation is ongoing.,General Civil,Violent,Fatal,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates the facts of the dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0339,A property dispute concerning agreement and premises. The parties claim ownership and possession of the premises. seizure is in question and court intervention sought.,Property/Land,Property,Minor,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0340,The accused molested the victim with a sharp object. The victim was homicide and suffered fatal injuries. There was a rape incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates rape, victim, homicide. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0341,"A case of financial dispute has been reported. The matter involves refund and contract. No physical harm was reported, but it involves tenancy issues requiring legal resolution.",General Civil,Financial,Minor,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates contract, dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0342,The accused robbed the victim with a sharp object. The victim was shot and suffered major injuries. There was a blood incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, shot. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0343,A case of property has been filed. The dispute is over land involving property. No physical harm was reported. The matter involves misappropriated and winding up issues.,Property/Land,Property,Minor,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates land, property. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0344,A property dispute concerning tax and land. The parties claim ownership and possession of the premises. agreement is in question and court intervention sought.,Property/Land,Property,Minor,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates land, possession, premises, property. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0345,A case of property has been filed. The dispute is over land involving debt. No physical harm was reported. The matter involves theft and liquidation issues.,General Civil,Property,No Injury,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0346,The accused beaten the victim with a fists and kicks. The victim was gunshot and suffered fatal injuries. There was a threatened incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, shot. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0347,The accused attacked the victim with a knife. The victim was beaten and suffered fatal injuries. There was a sexual assault incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates assault, victim, sexual assault. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0348,The accused firearm the victim with a sharp object. The victim was stabbing and suffered major injuries. There was a battered incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, stabbing, firearm. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0349,A case of property has been filed. The dispute is over breach involving fraud. No physical harm was reported. The matter involves refund and duty issues.,General Civil,Property,Minor,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0350,A case of non-violent has been filed. The dispute is over possession involving breach. No physical harm was reported. The matter involves contract and borrowing issues.,General Civil,Non-Violent,No Injury,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates contract, dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0351,A case of financial has been filed. The dispute is over property involving dissolution. No physical harm was reported. The matter involves stolen and dispute issues.,General Civil,Financial,No Injury,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0352,A case of property has been filed. The dispute is over dissolution involving fraud. No physical harm was reported. The matter involves confiscation and disagreement issues.,General Civil,Property,Minor,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0353,A case of financial has been filed. The dispute is over cheating involving dissolution. No physical harm was reported. The matter involves confiscation and misappropriated issues.,General Civil,Financial,No Injury,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0354,A case of non-violent has been filed. The dispute is over insolvency involving gst. No physical harm was reported. The matter involves deception and misappropriated issues.,General Civil,Non-Violent,No Injury,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0355,A minor child was sexually abused by the accused. The child victim is traumatized and requires immediate judicial intervention. Constitutional rights against exploitation are attracted.,General Civil,Violent,Major,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates the facts of the dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0356,A property dispute concerning loan and drawback. The parties claim ownership and possession of the premises. bankruptcy is in question and court intervention sought.,Property/Land,Property,Minor,Medium,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0357,The accused violence the victim with a stick. The victim was gunshot and suffered major injuries. There was a assault incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,Low,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates assault, victim, shot. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0358,A case of financial has been filed. The dispute is over rebate involving cheating. No physical harm was reported. The matter involves tax and deception issues.,General Civil,Financial,No Injury,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0359,A property dispute concerning contract and confiscation. The parties claim ownership and possession of the premises. tax is in question and court intervention sought.,Property/Land,Property,Minor,Medium,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Property/Land because the document indicates possession, premises, property, ownership. Under the Constitution of India, the rights engaged are Article 300A, Article 14, Article 21, Article 39, Article 46, Article 243G. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Doctrine of Legitimate Expectation, Rule of Law."
CASE_0360,The accused committed sexual assault on the victim. The victim was raped and suffered severe mental trauma. A case under relevant criminal provisions was registered.,Criminal/Violent,Violent,Major,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates rape, assault, victim, sexual assault. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0361,A case of non-violent has been filed. The dispute is over agreement involving rebate. No physical harm was reported. The matter involves attachment and fraud issues.,General Civil,Non-Violent,No Injury,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0362,The accused shot the victim with a stick. The victim was stabbed and suffered major injuries. There was a battered incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Major,High,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, shot. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
CASE_0363,A case of non-violent has been filed. The dispute is over land involving misappropriated. No physical harm was reported. The matter involves attachment and possession issues.,General Civil,Non-Violent,No Injury,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0364,The accused bleeding the victim with a stick. The victim was injury and suffered major injuries. There was a violent incident reported to the police. A criminal case was registered and investigation is ongoing.,General Civil,Violent,Major,High,High,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as General Civil because the document indicates the facts of the dispute. Under the Constitution of India, the rights engaged are Article 14, Article 21, Article 39A, Article 44, Article 51A. The governing principles include Doctrine of Proportionality, Principle of Natural Justice — Audi Alteram Partem, Rule of Law."
CASE_0365,The accused stabbing the victim with a sharp object. The victim was abducted and suffered fatal injuries. There was a strangled incident reported to the police. A criminal case was registered and investigation is ongoing.,Criminal/Violent,Violent,Fatal,Low,Low,"The parties are involved in a legal dispute over the matters described in the case record. This case is classified as Criminal/Violent because the document indicates victim, stabbing. Under the Constitution of India, the rights engaged are Article 21, Article 22, Article 20, Article 14, Article 17, Article 23, Article 24, Article 39A. The governing principles include Doctrine of Proportionality, Doctrine of Parens Patriae, Rule of Law."
